StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q4,Q5,Q8,Q6,Q7,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"On a scale of 1 to 6 with 1 being poor and 6 being great, how would you rate the short story ""Tusks, Trunks, and Time Travel""?",In a few words please describe what you think of the story,"According to the story, why do historians travel in time?",How did the historian describe enemy's elephants?,How many elephants did Gaius kill before being killed?,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""mTurkCode""}"
2018-07-16 19:44:02,2018-07-16 19:44:14,0,134.134.139.72,100,12,1,2018-07-16 19:44:14,R_3OcPY5bmxlFJZWo,,,,,45.553405761719,-122.8191986084,anonymous,EN,0,0,2.924,0,,,,,,7276020
2018-07-16 19:46:02,2018-07-16 19:46:22,0,99.101.39.20,100,20,1,2018-07-16 19:46:22,R_2XpKqW9FLuAFJRV,,,,,30.068405151367,-95.372703552246,anonymous,EN,0,0,0.48,0,3,unavailable,1,4,3,3196868
2018-07-16 19:46:13,2018-07-16 19:46:32,0,157.50.195.113,100,19,1,2018-07-16 19:46:33,R_2v8QYOI6IEA6n1K,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,4.977,0,2,YES,2,2,1,4219779
2018-07-16 19:45:48,2018-07-16 19:46:46,0,157.51.67.138,100,58,1,2018-07-16 19:46:47,R_3ilgQyx3B6Toyki,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,5.294,0,4,"We talked to six hiring experts to find out which questions trip up most job candidates, and the better answers that could win you the job",2,1,2,3079627
2018-07-16 19:46:02,2018-07-16 19:46:49,0,157.51.109.59,100,47,1,2018-07-16 19:46:50,R_2rl9lhaCNcqHwR6,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,5.727,0,3,GOOD,1,3,2,4302642
2018-07-16 19:46:06,2018-07-16 19:46:54,0,157.51.123.47,100,48,1,2018-07-16 19:46:55,R_2Wvt1ibw9dGN6Iu,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,4.977,0,3,GOOD,1,1,2,7098343
2018-07-16 19:45:45,2018-07-16 19:47:37,0,198.255.238.31,100,111,1,2018-07-16 19:47:37,R_2yeEt77rfkOGezG,,,,,43.694793701172,-70.290496826172,anonymous,EN,0,0,82.096,0,3,I hate old-timey medieval stuff like this,1,3,1,1025852
2018-07-16 19:46:05,2018-07-16 19:47:48,0,172.114.53.130,100,103,1,2018-07-16 19:47:48,R_6qXZLwZf2qcSt4B,,,,,33.913604736328,-118.23889923096,anonymous,EN,2.573,62.691,65.257,16,6,That was both bizarre and amazing.,1,1,3,6879701
