StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q4,Q5,Q12,Q14,Q16,Q25,mTurkCode,FL_2_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"On a scale of 1 to 6 with 1 being poor and 6 being great, how would you rate the short story ""Tusks, Trunks, and Time Travel""?",In a few words please describe what you think of the story,How did the historian describe enemy's elephants?,What city was Gaius defending?,What happened at the end of the story?,"Have you ever read or heard of the short story ""Tusks, Trunks, and Time Travel"" before taking this survey?",mTurkCode,FL_2 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID35""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""FL_2_DO""}"
2018-07-22 23:02:05,2018-07-22 23:02:28,IP Address,122.50.127.67,100,22,True,2018-07-22 23:02:28,R_3jZFcFbmXUAEhfW,,,,,35,105,anonymous,EN,0,0,2.985,0,-99,-99,-99,-99,-99,,7500980,Introduction:1Star
2018-07-22 23:11:45,2018-07-22 23:12:00,Survey Preview,,100,15,True,2018-07-22 23:12:00,R_1eqnR1NOuv6JfcR,,,,,34.054397583008,-118.2440032959,preview,EN,0,0,2.964,0,-99,-99,-99,-99,-99,,8769171,Introduction:4.5Stars
2018-07-22 23:12:56,2018-07-22 23:13:06,IP Address,108.171.135.185,100,9,True,2018-07-22 23:13:06,R_ukd4iif8gWLRZi9,,,,,34.054397583008,-118.2440032959,anonymous,EN,0,0,2.926,0,-99,-99,-99,-99,-99,,5353629,Introduction:4.5Stars
2018-07-23 19:04:10,2018-07-23 19:05:07,IP Address,71.183.192.233,100,56,True,2018-07-23 19:05:07,R_26llBrSL0BvwxH9,,,,,40.725204467773,-73.980201721191,anonymous,EN,0,0,5.567,0,-99,-99,-99,-99,-99,,198944,Introduction:1Star
2018-07-23 19:25:43,2018-07-23 19:25:56,IP Address,71.183.192.233,100,12,True,2018-07-23 19:25:56,R_398c6ZtL4rvqRhL,,,,,40.725204467773,-73.980201721191,anonymous,EN,0,0,4.161,0,-99,-99,-99,-99,-99,,9591681,Introduction:Control
2018-07-23 20:09:00,2018-07-23 20:09:20,Survey Preview,,100,20,True,2018-07-23 20:09:20,R_25NHx9i8FQf5l78,,,,,38.672897338867,-121.14880371094,preview,EN,0,0,4.404,0,-99,-99,-99,-99,-99,,6300476,Introduction:4.5Stars
2018-07-23 20:14:34,2018-07-23 20:15:20,Survey Preview,,100,46,True,2018-07-23 20:15:21,R_2zOMvlqyxDQfukC,,,,,40.725204467773,-73.980201721191,preview,EN,0,0,7.414,0,-99,-99,-99,-99,-99,-99,5680156,Introduction:1Star
2018-07-23 20:18:48,2018-07-23 20:18:59,Survey Preview,,100,10,True,2018-07-23 20:18:59,R_3JdUprZygPP0BIL,,,,,38.672897338867,-121.14880371094,preview,EN,0,0,3.33,0,-99,-99,-99,-99,-99,-99,6913553,Introduction:Control
